oblast,region,depth,parent_text,text,leaf,id,y012025,y022025,y032025,y042025,y052025,y062025,y072025,y082025,y092025,y102025,y112025,y122025,y012026,y022026,y032026,y042026
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,"Сельское, лесное и рыбное хозяйство",Лесоводство и лесозаготовки,False,447255,,,,,,,,,42714595.0,42714595.0,43461665.0,43461665.0,,68579.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Лесоводство и лесозаготовки,Лесоводство и прочая лесохозяйственная деятельность,False,447256,,,,,,,,,42714595.0,42714595.0,43461665.0,43461665.0,,68579.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Лесоводство и прочая лесохозяйственная деятельность,Лесоводство и прочая лесохозяйственная деятельность,False,447257,,,,,,,,,42714595.0,42714595.0,43461665.0,43461665.0,,68579.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Лесоводство и прочая лесохозяйственная деятельность,Лесоводство и прочая лесохозяйственная деятельность,True,447258,,,,,,,,,42714595.0,42714595.0,43461665.0,43461665.0,,68579.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,"Сельское, лесное и рыбное хозяйство",Рыболовство и рыбоводство,False,447268,,,,,,,,,,,,700462.0,,3386447.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Рыболовство и рыбоводство,Рыболовство,False,447269,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Рыболовство,Пресноводное рыболовство,False,447272,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Пресноводное рыболовство,Пресноводное рыболовство,True,447273,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Рыболовство и рыбоводство,Рыбоводство,False,447274,,,,,,,,,,,,700462.0,,3386447.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Рыбоводство,Пресноводное рыбоводство,False,447277,,,,,,,,,,,,700462.0,,3386447.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Пресноводное рыбоводство,Пресноводное рыбоводство,True,447278,,,,,,,,,,,,700462.0,,3386447.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,1,Всего,Строительство,False,448148,,,,,,,,,,,,275414729.0,,105494462.0,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,Строительство,Строительство зданий,False,18710963,,,,,,,,,,,,1353729.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Строительство зданий,Разработка строительных проектов,False,18710964,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Разработка строительных проектов,Разработка строительных проектов,False,18710965,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Разработка строительных проектов,Разработка строительных проектов,True,18710966,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Строительство зданий,Строительство жилых и нежилых зданий,False,18710967,,,,,,,,,,,,1353729.0,,,,
