id,text,leaf,measureName,y122020,122020,y122021,122021,y122019,122019,y122024,122024,y122023,122023,y122022,122022,depth,parent_text,oblast,region
3647936,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",True,,206517000,883.0,75947000,920.0,252502000,846.0,,,26284000,994.0,73650000,957.0,5,Прочая розничная торговля в неспециализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
3647937,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью более 2000 кв.м (2000 кв.м и выше)",True,,x,883.0,x,920.0,796048000,846.0,186941000,1031.0,x,994.0,x,957.0,5,Прочая розничная торговля в неспециализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448383,"Розничная торговля продуктами питания, напитками и табачными изделиями в специализированных магазинах",False,,,,,,,,x,1031.0,,,,,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448397,Прочая розничная торговля продуктами питания в специализированных магазинах,False,,,,,,,,x,1031.0,,,,,4,"Розничная торговля продуктами питания, напитками и табачными изделиями в специализированных магазинах",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
3647950,"Прочая розничная торговля продуктами питания в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,,,,,,,,x,1031.0,,,,,5,Прочая розничная торговля продуктами питания в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448399,Розничная торговля топливом в специализированных магазинах,False,,1042539000,883.0,1251354000,920.0,646583000,846.0,610812000,1031.0,495236000,994.0,596943000,957.0,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448400,Розничная торговля топливом в специализированных магазинах,False,,1042539000,883.0,1251354000,920.0,646583000,846.0,610812000,1031.0,495236000,994.0,596943000,957.0,4,Розничная торговля топливом в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
20576124,"Розничная торговля моторным топливом в специализированных магазинах, за исключением находящихся на придорожной полосе",True,,920728000,883.0,1239901000,920.0,,,610812000,1031.0,443773000,994.0,571611000,957.0,5,Розничная торговля топливом в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18951442,Розничная торговля моторным топливом в специализированных магазинах,True,,,,,,547467000,846.0,,,,,,,5,Розничная торговля топливом в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18951443,Розничная торговля смазочными материалами в специализированных магазинах,True,,,,11453000,920.0,99116000,846.0,,,51463000,994.0,25332000,957.0,5,Розничная торговля топливом в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
20576126,"Розничная торговля моторным топливом в специализированных магазинах, находящихся на придорожной полосе",True,,121811000,883.0,,,,,,,,,,,5,Розничная торговля топливом в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448402,Розничная торговля компьютерами и коммуникационным оборудованием в специализированных магазинах,False,,x,883.0,x,920.0,545000,846.0,,,,,x,957.0,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448403,"Розничная торговля компьютерами, периферийным оборудованием и программным обеспечением в специализированных магазинах",False,,x,883.0,x,920.0,545000,846.0,,,,,x,957.0,4,Розничная торговля компьютерами и коммуникационным оборудованием в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
3647952,"Розничная торговля компьютерами, периферийным оборудованием и программным обеспечением в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,,x,883.0,x,920.0,545000,846.0,,,,,x,957.0,5,"Розничная торговля компьютерами, периферийным оборудованием и программным обеспечением в специализированных магазинах",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448409,Розничная торговля прочими бытовыми товарами в специализированных магазинах ,False,,19372000,883.0,18163000,920.0,24859000,846.0,157746000,1031.0,19683000,994.0,7920000,957.0,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448412,"Розничная торговля скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах",False,,16470000,883.0,x,920.0,20778000,846.0,x,1031.0,x,994.0,x,957.0,4,Розничная торговля прочими бытовыми товарами в специализированных магазинах ,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18946140,"Розничная торговля скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,,x,883.0,x,920.0,20778000,846.0,x,1031.0,x,994.0,x,957.0,5,"Розничная торговля скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
18946141,"Розничная торговля скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах, являющихся  торговыми объектами, с торговой площадью более 2000 кв.м (2000 кв.м и выше)",True,,x,883.0,,,,,,,,,,,5,"Розничная торговля скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448414,"Розничная торговля коврами, ковровыми изделиями, настенными и напольными покрытиями в специализированных магазинах",False,,,,,,,,x,1031.0,,,,,4,Розничная торговля прочими бытовыми товарами в специализированных магазинах ,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
3647960,"Розничная торговля коврами, ковровыми изделиями, настенными и напольными покрытиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,,,,,,,,x,1031.0,,,,,5,"Розничная торговля коврами, ковровыми изделиями, настенными и напольными покрытиями в специализированных магазинах",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448416,Розничная торговля электрическими бытовыми приборами в специализированных магазинах,False,,x,883.0,x,920.0,x,846.0,348000,1031.0,733000,994.0,6290000,957.0,4,Розничная торговля прочими бытовыми товарами в специализированных магазинах ,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
3647962,"Розничная торговля электрическими бытовыми приборами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,,x,883.0,x,920.0,x,846.0,348000,1031.0,733000,994.0,6290000,957.0,5,Розничная торговля электрическими бытовыми приборами в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448418,"Розничная торговля мебелью, осветительным оборудованием и прочими бытовыми товарами в специализированных магазинах",False,,,,,,,,,,,,x,957.0,4,Розничная торговля прочими бытовыми товарами в специализированных магазинах ,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448419,"Розничная торговля мебелью в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,,,,,,,,,,,,x,957.0,5,"Розничная торговля мебелью, осветительным оборудованием и прочими бытовыми товарами в специализированных магазинах",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448422,Розничная торговля товарами культурно-развлекательного характера в специализированных магазинах,False,,,,,,x,846.0,,,,,,,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448423,Розничная торговля книгами в специализированных магазинах,False,,,,,,x,846.0,,,,,,,4,Розничная торговля товарами культурно-развлекательного характера в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
3647967,"Розничная торговля книгами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,,,,,,x,846.0,,,,,,,5,Розничная торговля книгами в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448433,Розничная торговля прочими товарами в специализированных магазинах,False,,14868000,883.0,20050000,920.0,15411000,846.0,103905000,1031.0,39267000,994.0,37258000,957.0,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448434,Розничная торговля одеждой в специализированных магазинах,False,,x,883.0,,,x,846.0,,,,,,,4,Розничная торговля прочими товарами в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448436,"Розничная торговля одеждой, кроме трикотажных и чулочно-носочных изделий, в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,,x,883.0,,,x,846.0,,,,,,,5,Розничная торговля одеждой в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448437,Розничная торговля обувью и кожаными изделиями в специализированных магазинах,False,,,,x,920.0,,,381000,1031.0,7914000,994.0,5399000,957.0,4,Розничная торговля прочими товарами в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448438,"Розничная торговля обувью в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,,,,x,920.0,,,381000,1031.0,7914000,994.0,5399000,957.0,5,Розничная торговля обувью и кожаными изделиями в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448440,Розничная торговля фармацевтическими товарами в специализированных магазинах,False,,13527000,883.0,x,920.0,x,846.0,85830000,1031.0,29148000,994.0,29485000,957.0,4,Розничная торговля прочими товарами в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
3647981,"Розничная торговля фармацевтическими товарами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,,13527000,883.0,x,920.0,x,846.0,85830000,1031.0,29148000,994.0,29485000,957.0,5,Розничная торговля фармацевтическими товарами в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448446,"Розничная торговля цветами, комнатными растениями, семенами, удобрениями, домашними животными и кормами для домашних животных в специализированных магазинах",False,,,,,,,,x,1031.0,,,,,4,Розничная торговля прочими товарами в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448447,"Розничная торговля цветами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,,,,,,,,x,1031.0,,,,,5,"Розничная торговля цветами, комнатными растениями, семенами, удобрениями, домашними животными и кормами для домашних животных в специализированных магазинах",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448452,Прочая розничная торговля новыми товарами в специализированных магазинах,False,,,,x,920.0,8955000,846.0,16944000,1031.0,2205000,994.0,x,957.0,4,Розничная торговля прочими товарами в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448455,"Прочая розничная торговля в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,,,,x,920.0,8955000,846.0,16944000,1031.0,2205000,994.0,x,957.0,5,Прочая розничная торговля новыми товарами в специализированных магазинах,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448468,"Розничная торговля вне магазинов, палаток, киосков или рынков",False,,,,x,920.0,x,846.0,,,,,,,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448469,Розничная торговля путем заказа товаров по почте или через сеть Интернет,False,,,,x,920.0,,,,,,,,,4,"Розничная торговля вне магазинов, палаток, киосков или рынков",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448470,Розничная торговля путем заказа товаров по почте или через сеть Интернет,True,,,,x,920.0,,,,,,,,,5,Розничная торговля путем заказа товаров по почте или через сеть Интернет,ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
448471,"Прочая розничная торговля вне магазинов, палаток, киосков или рынков",False,,,,,,x,846.0,,,,,,,4,"Розничная торговля вне магазинов, палаток, киосков или рынков",ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,УРАЛЬСК Г.А.
